板块名称,主力资金净流入(亿),时间,趋势
江河集团,-0.03,2026-05-15,↓ 净流出
吉比特,-0.03,2026-05-15,↓ 净流出
华纺股份,-0.04,2026-05-15,↓ 净流出
中创物流,-0.04,2026-05-15,↓ 净流出
海量数据,-0.04,2026-05-15,↓ 净流出
振华重工,-0.04,2026-05-15,↓ 净流出
安图生物,-0.04,2026-05-15,↓ 净流出
莱克电气,-0.04,2026-05-15,↓ 净流出
顾家家居,-0.04,2026-05-15,↓ 净流出
亚邦股份,-0.04,2026-05-15,↓ 净流出
光明乳业,-0.04,2026-05-15,↓ 净流出
华鼎股份,-0.04,2026-05-15,↓ 净流出
华能蒙电,-0.04,2026-05-15,↓ 净流出
甘李药业,-0.04,2026-05-15,↓ 净流出
嘉化能源,-0.04,2026-05-15,↓ 净流出
山东出版,-0.04,2026-05-15,↓ 净流出
鄂尔多斯,-0.04,2026-05-15,↓ 净流出
南钢股份,-0.04,2026-05-15,↓ 净流出
苏利股份,-0.04,2026-05-15,↓ 净流出
锦江在线,-0.04,2026-05-15,↓ 净流出
南宁百货,-0.04,2026-05-15,↓ 净流出
安徽建工,-0.04,2026-05-15,↓ 净流出
济川药业,-0.04,2026-05-15,↓ 净流出
梦天家居,-0.04,2026-05-15,↓ 净流出
厦门空港,-0.04,2026-05-15,↓ 净流出
开开实业,-0.04,2026-05-15,↓ 净流出
无锡银行,-0.04,2026-05-15,↓ 净流出
神奇制药,-0.04,2026-05-15,↓ 净流出
大众交通,-0.04,2026-05-15,↓ 净流出
*ST长投,-0.04,2026-05-15,↓ 净流出
伟时电子,-0.04,2026-05-15,↓ 净流出
西宁特钢,-0.04,2026-05-15,↓ 净流出
中电电机,-0.04,2026-05-15,↓ 净流出
万向德农,-0.04,2026-05-15,↓ 净流出
今创集团,-0.04,2026-05-15,↓ 净流出
上海机电,-0.04,2026-05-15,↓ 净流出
海峡环保,-0.04,2026-05-15,↓ 净流出
四方科技,-0.04,2026-05-15,↓ 净流出
华海药业,-0.04,2026-05-15,↓ 净流出
青岛港,-0.04,2026-05-15,↓ 净流出
苏盐井神,-0.04,2026-05-15,↓ 净流出
中恒集团,-0.04,2026-05-15,↓ 净流出
明泰铝业,-0.04,2026-05-15,↓ 净流出
醋化股份,-0.04,2026-05-15,↓ 净流出
联明股份,-0.04,2026-05-15,↓ 净流出
申华控股,-0.04,2026-05-15,↓ 净流出
凤凰传媒,-0.04,2026-05-15,↓ 净流出
设计总院,-0.04,2026-05-15,↓ 净流出
中国人寿,-0.04,2026-05-15,↓ 净流出
大宗用纸,-0.04,2026-05-15,↓ 净流出
上海洗霸,-0.04,2026-05-15,↓ 净流出
永安行,-0.04,2026-05-15,↓ 净流出
晋西车轴,-0.04,2026-05-15,↓ 净流出
ST东时,-0.04,2026-05-15,↓ 净流出
华峰铝业,-0.04,2026-05-15,↓ 净流出
白云机场,-0.04,2026-05-15,↓ 净流出
苏豪汇鸿,-0.04,2026-05-15,↓ 净流出
北方股份,-0.05,2026-05-15,↓ 净流出
金域医学,-0.05,2026-05-15,↓ 净流出
飞科电器,-0.05,2026-05-15,↓ 净流出
宁波远洋,-0.05,2026-05-15,↓ 净流出
*ST莫高,-0.05,2026-05-15,↓ 净流出
浙江东日,-0.05,2026-05-15,↓ 净流出
博迈科,-0.05,2026-05-15,↓ 净流出
会稽山,-0.05,2026-05-15,↓ 净流出
ST嘉澳,-0.05,2026-05-15,↓ 净流出
丸美生物,-0.05,2026-05-15,↓ 净流出
百大集团,-0.05,2026-05-15,↓ 净流出
中材国际,-0.05,2026-05-15,↓ 净流出
柳钢股份,-0.05,2026-05-15,↓ 净流出
卫浴电器,-0.05,2026-05-15,↓ 净流出
丽人丽妆,-0.05,2026-05-15,↓ 净流出
天富龙,-0.05,2026-05-15,↓ 净流出
正裕工业,-0.05,2026-05-15,↓ 净流出
福瑞达,-0.05,2026-05-15,↓ 净流出
其他养殖,-0.05,2026-05-15,↓ 净流出
龙头股份,-0.05,2026-05-15,↓ 净流出
长白山,-0.05,2026-05-15,↓ 净流出
柳药集团,-0.05,2026-05-15,↓ 净流出
紫江企业,-0.05,2026-05-15,↓ 净流出
华电国际,-0.05,2026-05-15,↓ 净流出
公牛集团,-0.05,2026-05-15,↓ 净流出
多伦科技,-0.05,2026-05-15,↓ 净流出
龙高股份,-0.05,2026-05-15,↓ 净流出
安记食品,-0.05,2026-05-15,↓ 净流出
双良节能,-0.05,2026-05-15,↓ 净流出
万泰生物,-0.05,2026-05-15,↓ 净流出
陕西黑猫,-0.05,2026-05-15,↓ 净流出
神力股份,-0.05,2026-05-15,↓ 净流出
亚宝药业,-0.05,2026-05-15,↓ 净流出
交大昂立,-0.05,2026-05-15,↓ 净流出
冠盛股份,-0.05,2026-05-15,↓ 净流出
松霖科技,-0.05,2026-05-15,↓ 净流出
千禾味业,-0.05,2026-05-15,↓ 净流出
迎丰股份,-0.05,2026-05-15,↓ 净流出
西大门,-0.05,2026-05-15,↓ 净流出
*ST网达,-0.05,2026-05-15,↓ 净流出
时代万恒,-0.05,2026-05-15,↓ 净流出
美邦股份,-0.05,2026-05-15,↓ 净流出
金杯汽车,-0.05,2026-05-15,↓ 净流出
华新建材,-0.05,2026-05-15,↓ 净流出
物产中大,-0.05,2026-05-15,↓ 净流出
康辰药业,-0.05,2026-05-15,↓ 净流出
*ST尼雅,-0.05,2026-05-15,↓ 净流出
茶花股份,-0.06,2026-05-15,↓ 净流出
福然德,-0.06,2026-05-15,↓ 净流出
新力金融,-0.06,2026-05-15,↓ 净流出
重百集团,-0.06,2026-05-15,↓ 净流出
其他饰品,-0.06,2026-05-15,↓ 净流出
昆药集团,-0.06,2026-05-15,↓ 净流出
江瀚新材,-0.06,2026-05-15,↓ 净流出
苏豪时尚,-0.06,2026-05-15,↓ 净流出
均瑶健康,-0.06,2026-05-15,↓ 净流出
教育出版,-0.06,2026-05-15,↓ 净流出
上海九百,-0.06,2026-05-15,↓ 净流出
华立股份,-0.06,2026-05-15,↓ 净流出
惠而浦,-0.06,2026-05-15,↓ 净流出
上海能源,-0.06,2026-05-15,↓ 净流出
华体科技,-0.06,2026-05-15,↓ 净流出
香溢融通,-0.06,2026-05-15,↓ 净流出
英利汽车,-0.06,2026-05-15,↓ 净流出
维远股份,-0.06,2026-05-15,↓ 净流出
亨通股份,-0.06,2026-05-15,↓ 净流出
桃李面包,-0.06,2026-05-15,↓ 净流出
盛剑科技,-0.06,2026-05-15,↓ 净流出
维力医疗,-0.06,2026-05-15,↓ 净流出
日出东方,-0.06,2026-05-15,↓ 净流出
中原高速,-0.06,2026-05-15,↓ 净流出
通策医疗,-0.06,2026-05-15,↓ 净流出
楚天高速,-0.06,2026-05-15,↓ 净流出
创业环保,-0.06,2026-05-15,↓ 净流出
力聚热能,-0.06,2026-05-15,↓ 净流出
中青旅,-0.06,2026-05-15,↓ 净流出
江苏金租,-0.06,2026-05-15,↓ 净流出
中交设计,-0.06,2026-05-15,↓ 净流出
ST新华锦,-0.06,2026-05-15,↓ 净流出
市北高新,-0.06,2026-05-15,↓ 净流出
物产环能,-0.06,2026-05-15,↓ 净流出
汇通控股,-0.06,2026-05-15,↓ 净流出
ST金鸿顺,-0.06,2026-05-15,↓ 净流出
阳光照明,-0.06,2026-05-15,↓ 净流出
金隅集团,-0.06,2026-05-15,↓ 净流出
百联股份,-0.06,2026-05-15,↓ 净流出
廊坊发展,-0.06,2026-05-15,↓ 净流出
宁波建工,-0.06,2026-05-15,↓ 净流出
全筑股份,-0.06,2026-05-15,↓ 净流出
新华网,-0.06,2026-05-15,↓ 净流出
中新集团,-0.06,2026-05-15,↓ 净流出
贵绳股份,-0.06,2026-05-15,↓ 净流出
甬金股份,-0.06,2026-05-15,↓ 净流出
新华传媒,-0.06,2026-05-15,↓ 净流出
会展服务,-0.06,2026-05-15,↓ 净流出
宝地矿业,-0.06,2026-05-15,↓ 净流出
同济科技,-0.07,2026-05-15,↓ 净流出
人民同泰,-0.07,2026-05-15,↓ 净流出
君禾股份,-0.07,2026-05-15,↓ 净流出
海利尔,-0.07,2026-05-15,↓ 净流出
ST文峰,-0.07,2026-05-15,↓ 净流出
北京人力,-0.07,2026-05-15,↓ 净流出
国投中鲁,-0.07,2026-05-15,↓ 净流出
华润双鹤,-0.07,2026-05-15,↓ 净流出
银龙股份,-0.07,2026-05-15,↓ 净流出
时空科技,-0.07,2026-05-15,↓ 净流出
鲁抗医药,-0.07,2026-05-15,↓ 净流出
三棵树,-0.07,2026-05-15,↓ 净流出
人民网,-0.07,2026-05-15,↓ 净流出
一鸣食品,-0.07,2026-05-15,↓ 净流出
淮河能源,-0.07,2026-05-15,↓ 净流出
尖峰集团,-0.07,2026-05-15,↓ 净流出
百川能源,-0.07,2026-05-15,↓ 净流出
宁波海运,-0.07,2026-05-15,↓ 净流出
泉阳泉,-0.07,2026-05-15,↓ 净流出
新农开发,-0.07,2026-05-15,↓ 净流出
贵广网络,-0.07,2026-05-15,↓ 净流出
同庆楼,-0.07,2026-05-15,↓ 净流出
三峡新材,-0.07,2026-05-15,↓ 净流出
青松建化,-0.07,2026-05-15,↓ 净流出
大湖股份,-0.07,2026-05-15,↓ 净流出
汉马科技,-0.07,2026-05-15,↓ 净流出
2025三季报预减,-0.07,2026-05-15,↓ 净流出
上海石化,-0.07,2026-05-15,↓ 净流出
*ST集友,-0.07,2026-05-15,↓ 净流出
掌阅科技,-0.08,2026-05-15,↓ 净流出
晋拓股份,-0.08,2026-05-15,↓ 净流出
厦门象屿,-0.08,2026-05-15,↓ 净流出
*ST京化,-0.08,2026-05-15,↓ 净流出
*ST起步,-0.08,2026-05-15,↓ 净流出
苏垦农发,-0.08,2026-05-15,↓ 净流出
顶点软件,-0.08,2026-05-15,↓ 净流出
福蓉科技,-0.08,2026-05-15,↓ 净流出
四创电子,-0.08,2026-05-15,↓ 净流出
肯特催化,-0.08,2026-05-15,↓ 净流出
郑州煤电,-0.08,2026-05-15,↓ 净流出
衢州东峰,-0.08,2026-05-15,↓ 净流出
三峰环境,-0.08,2026-05-15,↓ 净流出
*ST八钢,-0.08,2026-05-15,↓ 净流出
洪城环境,-0.08,2026-05-15,↓ 净流出
洗护用品,-0.08,2026-05-15,↓ 净流出
中华企业,-0.08,2026-05-15,↓ 净流出
百合花,-0.08,2026-05-15,↓ 净流出
百龙创园,-0.08,2026-05-15,↓ 净流出
红蜻蜓,-0.08,2026-05-15,↓ 净流出
老凤祥,-0.08,2026-05-15,↓ 净流出
神通科技,-0.08,2026-05-15,↓ 净流出
富佳股份,-0.08,2026-05-15,↓ 净流出
焦炭Ⅲ,-0.08,2026-05-15,↓ 净流出
焦炭Ⅱ,-0.08,2026-05-15,↓ 净流出
格尔软件,-0.08,2026-05-15,↓ 净流出
铁矿石,-0.08,2026-05-15,↓ 净流出
徕木股份,-0.08,2026-05-15,↓ 净流出
百隆东方,-0.08,2026-05-15,↓ 净流出
烘焙食品,-0.08,2026-05-15,↓ 净流出
大有能源,-0.08,2026-05-15,↓ 净流出
东方环宇,-0.09,2026-05-15,↓ 净流出
鑫科材料,-0.09,2026-05-15,↓ 净流出
中科软,-0.09,2026-05-15,↓ 净流出
ST通脉,-0.09,2026-05-15,↓ 净流出
江苏有线,-0.09,2026-05-15,↓ 净流出
华丰股份,-0.09,2026-05-15,↓ 净流出
华达新材,-0.09,2026-05-15,↓ 净流出
厨房电器,-0.09,2026-05-15,↓ 净流出
新华医疗,-0.09,2026-05-15,↓ 净流出
王府井,-0.09,2026-05-15,↓ 净流出
公路货运,-0.09,2026-05-15,↓ 净流出
澳弘电子,-0.09,2026-05-15,↓ 净流出
永兴股份,-0.09,2026-05-15,↓ 净流出
S佳通,-0.09,2026-05-15,↓ 净流出
永吉股份,-0.09,2026-05-15,↓ 净流出
森特股份,-0.09,2026-05-15,↓ 净流出
纺织化学制品,-0.09,2026-05-15,↓ 净流出
ST云城,-0.09,2026-05-15,↓ 净流出
湖南海利,-0.09,2026-05-15,↓ 净流出
上海医药,-0.09,2026-05-15,↓ 净流出
联美控股,-0.09,2026-05-15,↓ 净流出
电子城,-0.09,2026-05-15,↓ 净流出
荣泰健康,-0.09,2026-05-15,↓ 净流出
厦门银行,-0.09,2026-05-15,↓ 净流出
祥龙电业,-0.09,2026-05-15,↓ 净流出
洛凯股份,-0.09,2026-05-15,↓ 净流出
中源家居,-0.09,2026-05-15,↓ 净流出
学历教育,-0.09,2026-05-15,↓ 净流出
天成自控,-0.09,2026-05-15,↓ 净流出
院线,-0.09,2026-05-15,↓ 净流出
健盛集团,-0.09,2026-05-15,↓ 净流出
华贸物流,-0.10,2026-05-15,↓ 净流出
德宏股份,-0.10,2026-05-15,↓ 净流出
五矿发展,-0.10,2026-05-15,↓ 净流出
连云港,-0.10,2026-05-15,↓ 净流出
国网英大,-0.10,2026-05-15,↓ 净流出
金徽酒,-0.10,2026-05-15,↓ 净流出
艾华集团,-0.10,2026-05-15,↓ 净流出
福建高速,-0.10,2026-05-15,↓ 净流出
飞乐音响,-0.10,2026-05-15,↓ 净流出
万盛股份,-0.10,2026-05-15,↓ 净流出
东望时代,-0.10,2026-05-15,↓ 净流出
三角轮胎,-0.10,2026-05-15,↓ 净流出
华北制药,-0.10,2026-05-15,↓ 净流出
ST洲际,-0.10,2026-05-15,↓ 净流出
辽港股份,-0.10,2026-05-15,↓ 净流出
埃泰克,-0.10,2026-05-15,↓ 净流出
中储股份,-0.10,2026-05-15,↓ 净流出
中安科,-0.10,2026-05-15,↓ 净流出
*ST尔雅,-0.10,2026-05-15,↓ 净流出
视频媒体,-0.10,2026-05-15,↓ 净流出
津投城开,-0.10,2026-05-15,↓ 净流出
中泰证券,-0.10,2026-05-15,↓ 净流出
洪通燃气,-0.10,2026-05-15,↓ 净流出
国发股份,-0.10,2026-05-15,↓ 净流出
端到端供应链服务,-0.10,2026-05-15,↓ 净流出
浙江鼎力,-0.11,2026-05-15,↓ 净流出
国旅联合,-0.11,2026-05-15,↓ 净流出
宁波富邦,-0.11,2026-05-15,↓ 净流出
中谷物流,-0.11,2026-05-15,↓ 净流出
动力新科,-0.11,2026-05-15,↓ 净流出
澳柯玛,-0.11,2026-05-15,↓ 净流出
惠泉啤酒,-0.11,2026-05-15,↓ 净流出
*ST正平,-0.11,2026-05-15,↓ 净流出
商用载客车,-0.11,2026-05-15,↓ 净流出
水产养殖,-0.11,2026-05-15,↓ 净流出
武进不锈,-0.11,2026-05-15,↓ 净流出
广誉远,-0.11,2026-05-15,↓ 净流出
恒盛能源,-0.11,2026-05-15,↓ 净流出
科达制造,-0.11,2026-05-15,↓ 净流出
*ST椰岛,-0.11,2026-05-15,↓ 净流出
中船科技,-0.11,2026-05-15,↓ 净流出
克来机电,-0.11,2026-05-15,↓ 净流出
永艺股份,-0.11,2026-05-15,↓ 净流出
三江购物,-0.11,2026-05-15,↓ 净流出
出版传媒,-0.11,2026-05-15,↓ 净流出
国泰海通,-0.11,2026-05-15,↓ 净流出
陕建股份,-0.11,2026-05-15,↓ 净流出
岳阳林纸,-0.11,2026-05-15,↓ 净流出
华谊集团,-0.11,2026-05-15,↓ 净流出
航发科技,-0.11,2026-05-15,↓ 净流出
爱玛科技,-0.12,2026-05-15,↓ 净流出
五洲特纸,-0.12,2026-05-15,↓ 净流出
重庆啤酒,-0.12,2026-05-15,↓ 净流出
景津装备,-0.12,2026-05-15,↓ 净流出
紫金银行,-0.12,2026-05-15,↓ 净流出
法兰泰克,-0.12,2026-05-15,↓ 净流出
浪潮软件,-0.12,2026-05-15,↓ 净流出
振江股份,-0.12,2026-05-15,↓ 净流出
明星电力,-0.12,2026-05-15,↓ 净流出
三峡水利,-0.12,2026-05-15,↓ 净流出
华丽家族,-0.12,2026-05-15,↓ 净流出
健民集团,-0.12,2026-05-15,↓ 净流出
鼎信通讯,-0.12,2026-05-15,↓ 净流出
怡球资源,-0.12,2026-05-15,↓ 净流出
建发股份,-0.12,2026-05-15,↓ 净流出
长城电工,-0.12,2026-05-15,↓ 净流出
茂业商业,-0.12,2026-05-15,↓ 净流出
晋亿实业,-0.12,2026-05-15,↓ 净流出
中衡设计,-0.12,2026-05-15,↓ 净流出
如通股份,-0.12,2026-05-15,↓ 净流出
*ST华鹏,-0.12,2026-05-15,↓ 净流出
风范股份,-0.12,2026-05-15,↓ 净流出
亚盛集团,-0.12,2026-05-15,↓ 净流出
渔业,-0.12,2026-05-15,↓ 净流出
浙商银行,-0.12,2026-05-15,↓ 净流出
ST龙元,-0.12,2026-05-15,↓ 净流出
轻纺城,-0.13,2026-05-15,↓ 净流出
广汽集团,-0.13,2026-05-15,↓ 净流出
XD大豪科,-0.13,2026-05-15,↓ 净流出
五洲交通,-0.13,2026-05-15,↓ 净流出
大秦铁路,-0.13,2026-05-15,↓ 净流出
科力远,-0.13,2026-05-15,↓ 净流出
皖天然气,-0.13,2026-05-15,↓ 净流出
零食,-0.13,2026-05-15,↓ 净流出
新华百货,-0.13,2026-05-15,↓ 净流出
迎驾贡酒,-0.13,2026-05-15,↓ 净流出
新天绿能,-0.13,2026-05-15,↓ 净流出
健麾信息,-0.13,2026-05-15,↓ 净流出
荣晟环保,-0.13,2026-05-15,↓ 净流出
通宝能源,-0.14,2026-05-15,↓ 净流出
合富中国,-0.14,2026-05-15,↓ 净流出
厨卫电器,-0.14,2026-05-15,↓ 净流出
金健米业,-0.14,2026-05-15,↓ 净流出
展鹏科技,-0.14,2026-05-15,↓ 净流出
中国汽研,-0.14,2026-05-15,↓ 净流出
广电电气,-0.14,2026-05-15,↓ 净流出
中粮糖业,-0.14,2026-05-15,↓ 净流出
南京熊猫,-0.14,2026-05-15,↓ 净流出
南京商旅,-0.14,2026-05-15,↓ 净流出
海油发展,-0.14,2026-05-15,↓ 净流出
明新旭腾,-0.14,2026-05-15,↓ 净流出
个护小家电,-0.14,2026-05-15,↓ 净流出
同仁堂,-0.14,2026-05-15,↓ 净流出
白云山,-0.14,2026-05-15,↓ 净流出
盘江股份,-0.14,2026-05-15,↓ 净流出
天普股份,-0.14,2026-05-15,↓ 净流出
民爆概念,-0.14,2026-05-15,↓ 净流出
ST标准,-0.14,2026-05-15,↓ 净流出
兰石重装,-0.14,2026-05-15,↓ 净流出
冠城新材,-0.14,2026-05-15,↓ 净流出
西昌电力,-0.14,2026-05-15,↓ 净流出
抚顺特钢,-0.14,2026-05-15,↓ 净流出
铁龙物流,-0.14,2026-05-15,↓ 净流出
比依股份,-0.14,2026-05-15,↓ 净流出
福耀玻璃,-0.14,2026-05-15,↓ 净流出
咸亨国际,-0.15,2026-05-15,↓ 净流出
燃料电池,-0.15,2026-05-15,↓ 净流出
骆驼股份,-0.15,2026-05-15,↓ 净流出
海南华铁,-0.15,2026-05-15,↓ 净流出
四川路桥,-0.15,2026-05-15,↓ 净流出
食用菌,-0.15,2026-05-15,↓ 净流出
奥锐特,-0.15,2026-05-15,↓ 净流出
芯能科技,-0.15,2026-05-15,↓ 净流出
福莱特,-0.15,2026-05-15,↓ 净流出
焦煤,-0.15,2026-05-15,↓ 净流出
常熟银行,-0.15,2026-05-15,↓ 净流出
苏农银行,-0.15,2026-05-15,↓ 净流出
老白干酒,-0.15,2026-05-15,↓ 净流出
百傲化学,-0.15,2026-05-15,↓ 净流出
安通控股,-0.16,2026-05-15,↓ 净流出
电投水电,-0.16,2026-05-15,↓ 净流出
水井坊,-0.16,2026-05-15,↓ 净流出
光大银行,-0.16,2026-05-15,↓ 净流出
基蛋生物,-0.16,2026-05-15,↓ 净流出
信达证券,-0.16,2026-05-15,↓ 净流出
珀莱雅,-0.16,2026-05-15,↓ 净流出
南京新百,-0.16,2026-05-15,↓ 净流出
马钢股份,-0.16,2026-05-15,↓ 净流出
益佰制药,-0.16,2026-05-15,↓ 净流出
潞安环能,-0.16,2026-05-15,↓ 净流出
海兴电力,-0.16,2026-05-15,↓ 净流出
皖维高新,-0.16,2026-05-15,↓ 净流出
春兰股份,-0.16,2026-05-15,↓ 净流出
海正药业,-0.16,2026-05-15,↓ 净流出
水发燃气,-0.17,2026-05-15,↓ 净流出
西南证券,-0.17,2026-05-15,↓ 净流出
铜峰电子,-0.17,2026-05-15,↓ 净流出
托育服务,-0.17,2026-05-15,↓ 净流出
振石股份,-0.17,2026-05-15,↓ 净流出
纽威股份,-0.17,2026-05-15,↓ 净流出
XD宇通客,-0.17,2026-05-15,↓ 净流出
奥康国际,-0.17,2026-05-15,↓ 净流出
道生天合,-0.17,2026-05-15,↓ 净流出
卧龙新能,-0.17,2026-05-15,↓ 净流出
镇海股份,-0.17,2026-05-15,↓ 净流出
*ST九鼎,-0.17,2026-05-15,↓ 净流出
佳都科技,-0.17,2026-05-15,↓ 净流出
扬农化工,-0.17,2026-05-15,↓ 净流出
上实发展,-0.17,2026-05-15,↓ 净流出
华脉科技,-0.17,2026-05-15,↓ 净流出
万朗磁塑,-0.17,2026-05-15,↓ 净流出
重庆钢铁,-0.17,2026-05-15,↓ 净流出
装修建材,-0.17,2026-05-15,↓ 净流出
五矿资本,-0.17,2026-05-15,↓ 净流出
隧道股份,-0.18,2026-05-15,↓ 净流出
丰倍生物,-0.18,2026-05-15,↓ 净流出
中国一重,-0.18,2026-05-15,↓ 净流出
中国能建,-0.18,2026-05-15,↓ 净流出
南京证券,-0.18,2026-05-15,↓ 净流出
肉鸡养殖,-0.18,2026-05-15,↓ 净流出
新城控股,-0.18,2026-05-15,↓ 净流出
海油工程,-0.18,2026-05-15,↓ 净流出
ST海泰,-0.18,2026-05-15,↓ 净流出
生态农业,-0.18,2026-05-15,↓ 净流出
中际联合,-0.18,2026-05-15,↓ 净流出
电科芯片,-0.18,2026-05-15,↓ 净流出
德业股份,-0.19,2026-05-15,↓ 净流出
越剑智能,-0.19,2026-05-15,↓ 净流出
山鹰国际,-0.19,2026-05-15,↓ 净流出
日月股份,-0.19,2026-05-15,↓ 净流出
首旅酒店,-0.19,2026-05-15,↓ 净流出
统一股份,-0.19,2026-05-15,↓ 净流出
美湖股份,-0.19,2026-05-15,↓ 净流出
成都银行,-0.19,2026-05-15,↓ 净流出
中国医药,-0.19,2026-05-15,↓ 净流出
东方材料,-0.19,2026-05-15,↓ 净流出
亚星锚链,-0.19,2026-05-15,↓ 净流出
涂料油墨,-0.19,2026-05-15,↓ 净流出
*ST新潮,-0.19,2026-05-15,↓ 净流出
达仁堂,-0.19,2026-05-15,↓ 净流出
中直股份,-0.19,2026-05-15,↓ 净流出
太极集团,-0.19,2026-05-15,↓ 净流出
丽岛新材,-0.19,2026-05-15,↓ 净流出
永杰新材,-0.20,2026-05-15,↓ 净流出
税友股份,-0.20,2026-05-15,↓ 净流出
星湖科技,-0.20,2026-05-15,↓ 净流出
电视广播Ⅲ,-0.20,2026-05-15,↓ 净流出
电视广播Ⅱ,-0.20,2026-05-15,↓ 净流出
杭州热电,-0.20,2026-05-15,↓ 净流出
电科数字,-0.20,2026-05-15,↓ 净流出
酒店,-0.20,2026-05-15,↓ 净流出
*ST华微,-0.20,2026-05-15,↓ 净流出
国网信通,-0.20,2026-05-15,↓ 净流出
金种子酒,-0.20,2026-05-15,↓ 净流出
金地集团,-0.20,2026-05-15,↓ 净流出
长材,-0.20,2026-05-15,↓ 净流出
汇顶科技,-0.20,2026-05-15,↓ 净流出
房产租赁经纪,-0.20,2026-05-15,↓ 净流出
松炀资源,-0.20,2026-05-15,↓ 净流出
红塔证券,-0.20,2026-05-15,↓ 净流出
其他黑色家电,-0.20,2026-05-15,↓ 净流出
休闲食品,-0.20,2026-05-15,↓ 净流出
敦煌种业,-0.20,2026-05-15,↓ 净流出
桂冠电力,-0.21,2026-05-15,↓ 净流出
华电科工,-0.21,2026-05-15,↓ 净流出
股权激励,-0.21,2026-05-15,↓ 净流出
力鼎光电,-0.21,2026-05-15,↓ 净流出
北元化工,-0.21,2026-05-15,↓ 净流出
金晶科技,-0.21,2026-05-15,↓ 净流出
其他橡胶制品,-0.21,2026-05-15,↓ 净流出
洪田股份,-0.21,2026-05-15,↓ 净流出
ST百利,-0.21,2026-05-15,↓ 净流出
老百姓,-0.21,2026-05-15,↓ 净流出
嘉友国际,-0.21,2026-05-15,↓ 净流出
*ST亿晶,-0.21,2026-05-15,↓ 净流出
贵阳银行,-0.21,2026-05-15,↓ 净流出
上海环境,-0.21,2026-05-15,↓ 净流出
玲珑轮胎,-0.21,2026-05-15,↓ 净流出
华为欧拉,-0.21,2026-05-15,↓ 净流出
厦门国贸,-0.21,2026-05-15,↓ 净流出
伯特利,-0.22,2026-05-15,↓ 净流出
中国中冶,-0.22,2026-05-15,↓ 净流出
中国联通,-0.22,2026-05-15,↓ 净流出
莲花控股,-0.22,2026-05-15,↓ 净流出
华达科技,-0.22,2026-05-15,↓ 净流出
健友股份,-0.22,2026-05-15,↓ 净流出
中国海防,-0.22,2026-05-15,↓ 净流出
龙净环保,-0.22,2026-05-15,↓ 净流出
鹿山新材,-0.22,2026-05-15,↓ 净流出
天有为,-0.22,2026-05-15,↓ 净流出
养元饮品,-0.22,2026-05-15,↓ 净流出
冠农股份,-0.22,2026-05-15,↓ 净流出
安迪苏,-0.22,2026-05-15,↓ 净流出
海航科技,-0.22,2026-05-15,↓ 净流出
今世缘,-0.23,2026-05-15,↓ 净流出
航天晨光,-0.23,2026-05-15,↓ 净流出
朗博科技,-0.23,2026-05-15,↓ 净流出
厦工股份,-0.23,2026-05-15,↓ 净流出
上海港湾,-0.23,2026-05-15,↓ 净流出
济民健康,-0.23,2026-05-15,↓ 净流出
雪峰科技,-0.23,2026-05-15,↓ 净流出
京津冀,-0.23,2026-05-15,↓ 净流出
塞力医疗,-0.23,2026-05-15,↓ 净流出
上海沪工,-0.23,2026-05-15,↓ 净流出
北汽蓝谷,-0.23,2026-05-15,↓ 净流出
中铁工业,-0.23,2026-05-15,↓ 净流出
华创云信,-0.23,2026-05-15,↓ 净流出
绿地控股,-0.23,2026-05-15,↓ 净流出
三六零,-0.23,2026-05-15,↓ 净流出
辰欣药业,-0.23,2026-05-15,↓ 净流出
上海贝岭,-0.23,2026-05-15,↓ 净流出
陕西旅游,-0.23,2026-05-15,↓ 净流出
城投控股,-0.23,2026-05-15,↓ 净流出
包装材料,-0.23,2026-05-15,↓ 净流出
国联民生,-0.24,2026-05-15,↓ 净流出
江南新材,-0.24,2026-05-15,↓ 净流出
春秋航空,-0.24,2026-05-15,↓ 净流出
新钢股份,-0.24,2026-05-15,↓ 净流出
索通发展,-0.24,2026-05-15,↓ 净流出
江苏银行,-0.24,2026-05-15,↓ 净流出
云天化,-0.24,2026-05-15,↓ 净流出
餐饮,-0.24,2026-05-15,↓ 净流出
动力源,-0.24,2026-05-15,↓ 净流出
时代新材,-0.24,2026-05-15,↓ 净流出
辽宁能源,-0.24,2026-05-15,↓ 净流出
海南橡胶,-0.24,2026-05-15,↓ 净流出
方正证券,-0.24,2026-05-15,↓ 净流出
白云电器,-0.24,2026-05-15,↓ 净流出
永臻股份,-0.25,2026-05-15,↓ 净流出
华能国际,-0.25,2026-05-15,↓ 净流出
城建发展,-0.25,2026-05-15,↓ 净流出
氦气概念,-0.25,2026-05-15,↓ 净流出
翠微股份,-0.25,2026-05-15,↓ 净流出
*ST亚士,-0.25,2026-05-15,↓ 净流出
城地香江,-0.25,2026-05-15,↓ 净流出
超颖电子,-0.25,2026-05-15,↓ 净流出
盛洋科技,-0.25,2026-05-15,↓ 净流出
海南机场,-0.25,2026-05-15,↓ 净流出
涤纶,-0.25,2026-05-15,↓ 净流出
中国动力,-0.25,2026-05-15,↓ 净流出
合盛硅业,-0.25,2026-05-15,↓ 净流出
望变电气,-0.25,2026-05-15,↓ 净流出
磷肥及磷化工,-0.26,2026-05-15,↓ 净流出
商业地产,-0.26,2026-05-15,↓ 净流出
